id,age,birth_year,generation,word_count,exclam_count,exclam_per_100k
usr_c95879af82,31,1994,Millennial,855,2,233.918
usr_3eb7c032c3,41,1984,Millennial,1492,5,335.121
usr_b1841bcdb4,39,1986,Millennial,592,3,506.757
usr_4c79d89899,37,1988,Millennial,1557,2,128.452
usr_ad37c5c484,37,1988,Millennial,501,1,199.601
usr_e913712157,43,1982,Millennial,1280,4,312.5
usr_f9d016cd0b,23,2002,Gen Z,648,4,617.284
usr_dee75989a8,32,1993,Millennial,866,4,461.894
usr_f84a619384,34,1991,Millennial,110,1,909.091
usr_1ffec2b180,27,1998,Gen Z,1513,7,462.657
usr_5807311f43,45,1980,Gen X,1078,5,463.822
usr_3f5b9628fc,24,2001,Gen Z,435,9,2068.966
usr_7bea345c09,34,1991,Millennial,1749,5,285.878
usr_f6860f2591,55,1970,Gen X,1074,0,0.0
usr_32e6c20d7a,37,1988,Millennial,1913,4,209.096
usr_6c48cb097e,41,1984,Millennial,273,0,0.0
usr_74299a606e,22,2003,Gen Z,258,1,387.597
usr_f99d050fdb,38,1987,Millennial,1663,4,240.529
usr_23903e6cac,38,1987,Millennial,1057,11,1040.681
usr_1cbd809ad9,31,1994,Millennial,1647,3,182.149
usr_64aaeab250,32,1993,Millennial,2515,14,556.66
usr_f8b3720cf2,25,2000,Gen Z,1904,5,262.605
usr_13d918dd1a,30,1995,Millennial,1215,2,164.609
usr_f3d4b8d4e3,38,1987,Millennial,1361,5,367.377
usr_582385d5f1,34,1991,Millennial,1049,3,285.987
usr_211c9de06e,45,1980,Gen X,181,0,0.0
usr_a0ee1d96bb,36,1989,Millennial,289,4,1384.083
usr_c5f611665c,43,1982,Millennial,275,2,727.273
usr_574998da53,30,1995,Millennial,1492,15,1005.362
usr_2af60cf596,36,1989,Millennial,268,3,1119.403
usr_5585b9cd21,30,1995,Millennial,697,1,143.472
usr_8f8b200a9a,27,1998,Gen Z,739,2,270.636
usr_54d1128b0f,40,1985,Millennial,105,3,2857.143
usr_4da5e702b2,47,1978,Gen X,126,1,793.651
usr_6abed675ba,37,1988,Millennial,860,3,348.837
usr_e546949ddc,26,1999,Gen Z,635,5,787.402
usr_ba83e1402b,28,1997,Gen Z,533,3,562.852
usr_e2e23a6e0e,31,1994,Millennial,345,4,1159.42
usr_8e08991398,21,2004,Gen Z,596,0,0.0
usr_0e7b7af163,27,1998,Gen Z,1832,5,272.926
usr_04732cb97b,35,1990,Millennial,295,2,677.966
usr_5f8a6bcd88,34,1991,Millennial,871,1,114.811
usr_b3064cef67,29,1996,Millennial,1619,2,123.533
usr_f0b57d5086,26,1999,Gen Z,126,0,0.0
usr_175108006f,30,1995,Millennial,838,0,0.0
usr_02bf46161c,33,1992,Millennial,480,2,416.667
usr_75b14a324e,41,1984,Millennial,2069,6,289.995
usr_67f17eb9e6,34,1991,Millennial,1040,2,192.308
usr_f57ea7ef5b,41,1984,Millennial,514,1,194.553
usr_088df0aede,27,1998,Gen Z,653,0,0.0
usr_c5959f611c,45,1980,Gen X,732,0,0.0
usr_612c0a9acf,33,1992,Millennial,866,0,0.0
usr_aff5b99157,28,1997,Gen Z,2318,14,603.969
usr_84dc6a034d,30,1995,Millennial,239,0,0.0
usr_f81ea6a0d9,34,1991,Millennial,332,0,0.0
usr_646043becc,64,1961,Boomer,743,2,269.179
usr_0434dfa104,32,1993,Millennial,421,0,0.0
usr_aeebbaacd1,37,1988,Millennial,331,0,0.0
usr_fb725bc901,37,1988,Millennial,113,0,0.0
usr_fa70caacaa,40,1985,Millennial,854,0,0.0
usr_2f8c26e8f2,29,1996,Millennial,933,4,428.725
usr_2f7814b980,36,1989,Millennial,1488,6,403.226
usr_0815a0bd72,34,1991,Millennial,123,1,813.008
usr_65ff9bd76e,57,1968,Gen X,677,0,0.0
usr_5a5a1b1133,29,1996,Millennial,1091,1,91.659
usr_7a4f5b5298,27,1998,Gen Z,870,1,114.943
usr_5b651e5d8a,35,1990,Millennial,1051,2,190.295
usr_ce8d89cc9a,24,2001,Gen Z,146,3,2054.795
usr_0595390b2a,33,1992,Millennial,580,2,344.828
