id,interest_group,word_count,sentence_count,complex_sentence_count,percent_complex_sentences,avg_sentence_len
usr_3861e7bb44,Looking for Women,963,65,15,23.077,14.815
usr_2a6d2a2d9e,Looking for Women,641,53,7,13.208,12.094
usr_0ddd44ddab,Looking for Women,561,24,15,62.5,23.375
usr_f31f1ef82d,Looking for Women,523,30,11,36.667,17.433
usr_b0cbb72cba,Looking for Women,1030,63,20,31.746,16.349
usr_f8264ce8ea,Looking for Women,271,26,0,0.0,10.423
usr_388e4d83da,Looking for Both,377,28,6,21.429,13.464
usr_f753263e7c,Looking for Men,1202,85,21,24.706,14.141
usr_75f2661435,Looking for Both,4710,314,69,21.975,15.0
usr_ad51f6fcde,Looking for Women,1206,64,19,29.688,18.844
usr_62a591d357,Looking for Women,685,39,12,30.769,17.564
usr_a5a2e6db18,Looking for Women,811,34,11,32.353,23.853
usr_043cba3ae0,Looking for Women,1572,88,32,36.364,17.864
usr_7bae480261,Looking for Women,1046,71,20,28.169,14.732
usr_a554d0a027,Looking for Women,1258,67,18,26.866,18.776
usr_c171b85fd5,Looking for Men,3115,124,71,57.258,25.121
usr_0cf7f3e282,Looking for Women,249,15,4,26.667,16.6
usr_5048f38377,Looking for Women,1054,63,21,33.333,16.73
usr_087fbc195a,Looking for Men,1621,98,27,27.551,16.541
usr_338869b614,Looking for Men,216,15,2,13.333,14.4
usr_7c05cf7f82,Looking for Women,708,48,12,25.0,14.75
usr_dab34ae3eb,Looking for Women,1853,95,28,29.474,19.505
usr_91520afa39,Looking for Women,2314,124,51,41.129,18.661
usr_472fe7a708,Looking for Men,1020,33,13,39.394,30.909
usr_eeb1bca3df,Looking for Men,728,35,12,34.286,20.8
usr_720699db56,Looking for Men,358,24,4,16.667,14.917
usr_48faf2fb83,Looking for Women,769,38,13,34.211,20.237
usr_5404818004,Looking for Women,240,14,6,42.857,17.143
usr_e6786b8495,Looking for Women,511,38,6,15.789,13.447
usr_f93929ccfe,Looking for Women,1368,104,20,19.231,13.154
usr_83dfcfab4f,Looking for Women,448,51,5,9.804,8.784
usr_2a41c33405,Looking for Men,613,40,13,32.5,15.325
usr_e85937d6f1,Looking for Men,433,22,11,50.0,19.682
usr_6d33a4613e,Looking for Men,534,31,10,32.258,17.226
usr_73fb709f6f,Looking for Women,359,21,6,28.571,17.095
usr_e77eb2eb7d,Looking for Women,1436,91,24,26.374,15.78
usr_8b8fa88e38,Looking for Women,4353,263,82,31.179,16.551
usr_afcc6e0593,Looking for Women,944,47,23,48.936,20.085
usr_f6f09aa842,Looking for Both,2081,135,37,27.407,15.415
usr_eca6230bc7,Looking for Men,971,51,14,27.451,19.039
usr_455248a8c2,Looking for Men,1890,235,12,5.106,8.043
