id,source_gender,target_gender,group,word_count,complex_pct,interestedIn_raw
usr_f31f1ef82d,M,F,Men → Women,523,15.296,['F']
usr_b0cbb72cba,M,F,Men → Women,1030,9.806,['F']
usr_f8264ce8ea,M,F,Men → Women,271,22.509,['F']
usr_f753263e7c,F,M,Women → Men,1202,16.722,['M']
usr_ad51f6fcde,M,F,Men → Women,1206,15.423,['F']
usr_62a591d357,M,F,Men → Women,685,9.781,['F']
usr_a5a2e6db18,M,F,Men → Women,811,11.097,['F']
usr_043cba3ae0,M,F,Men → Women,1572,13.359,['F']
usr_7bae480261,M,F,Men → Women,1046,12.428,"['F', 'NB']"
usr_7bae480261,M,NB,Men → NB,1046,12.428,"['F', 'NB']"
usr_a554d0a027,M,F,Men → Women,1258,9.3,['F']
usr_c171b85fd5,F,M,Women → Men,3115,13.9,"['M', 'NB']"
usr_c171b85fd5,F,NB,Women → NB,3115,13.9,"['M', 'NB']"
usr_0cf7f3e282,M,F,Men → Women,249,11.647,['F']
usr_5048f38377,M,F,Men → Women,1054,11.954,['F']
usr_087fbc195a,F,M,Women → Men,1621,9.192,['M']
usr_338869b614,F,M,Women → Men,216,8.333,['M']
usr_7c05cf7f82,M,F,Men → Women,708,16.384,['F']
usr_dab34ae3eb,M,F,Men → Women,1853,14.787,['F']
usr_91520afa39,M,F,Men → Women,2314,15.946,['F']
usr_472fe7a708,F,M,Women → Men,1020,14.412,['M']
usr_eeb1bca3df,F,M,Women → Men,728,10.44,['M']
usr_720699db56,F,M,Women → Men,358,10.056,['M']
usr_48faf2fb83,M,F,Men → Women,769,10.403,['F']
usr_5404818004,M,F,Men → Women,240,20.417,['F']
usr_e6786b8495,M,F,Men → Women,511,10.372,['F']
usr_f93929ccfe,M,F,Men → Women,1368,12.646,['F']
usr_83dfcfab4f,M,F,Men → Women,448,21.205,['F']
usr_2a41c33405,F,M,Women → Men,613,12.887,['M']
usr_e85937d6f1,M,M,Men → Men,433,19.4,['M']
usr_6d33a4613e,F,M,Women → Men,534,12.921,['M']
usr_73fb709f6f,M,F,Men → Women,359,9.192,['F']
usr_e77eb2eb7d,M,F,Men → Women,1436,16.713,"['F', 'NB']"
usr_e77eb2eb7d,M,NB,Men → NB,1436,16.713,"['F', 'NB']"
usr_8b8fa88e38,M,F,Men → Women,4353,11.808,['F']
usr_afcc6e0593,M,F,Men → Women,944,13.559,['F']
usr_f6f09aa842,M,F,Men → Women,2081,12.158,"['F', 'M']"
usr_f6f09aa842,M,M,Men → Men,2081,12.158,"['F', 'M']"
usr_eca6230bc7,F,M,Women → Men,971,9.99,['M']
usr_455248a8c2,F,M,Women → Men,1890,15.556,['M']
usr_cb1f4df9ab,F,M,Women → Men,473,11.416,['M']
usr_9114a08dc7,F,M,Women → Men,1821,10.928,['M']
usr_ff0b88a130,M,F,Men → Women,1742,18.829,['F']
usr_8cff506150,F,M,Women → Men,231,6.926,['M']
usr_9125241386,F,M,Women → Men,1125,12.889,['M']
usr_edae9f254b,M,F,Men → Women,566,13.604,['F']
usr_3386c9dc77,F,M,Women → Men,231,6.926,['M']
